Country,Commitment in U.A,Status,Source of Financing,Sector
Uganda,16624852.64,Approved,African Development Bank,Power
Multinational,4800000.0,Approved,African Development Fund,Power
Multinational,2400000.0,Approved,African Development Fund,Power
Cameroon,60985602.0,Approved,African Development Bank,Power
Multinational,202700000.0,Approved,African Development Fund,Power
Multinational,25000000.0,Approved,African Development Fund,Power
Multinational,4060000.0,Implementation,African Development Fund,Power
Mozambique,25000000.0,Approved,Transition Support Facility,Power
Kenya,82887196.35,Approved,African Development Bank,Power
Guinea,3446265.0,Approved,African Development Fund,Power
Multinational,209573.0,Approved,Sustainable Energy Fund for Africa,Power
Multinational,104786.5,Approved,Sustainable Energy Fund for Africa,Power
Multinational,149695.0,Approved,Sustainable Energy Fund for Africa,Power
Multinational,2088321.06,Approved,Sustainable Energy Fund for Africa,Power
Mauritania,11775931.29,Approved,Sustainable Energy Fund for Africa,Power
Multinational,763405.4,Approved,Sustainable Energy Fund for Africa,Power
Ethiopia,40000000.0,Approved,African Development Fund,Power
Central African Republic,456972.38,Approved,Fund for African Private Sector Assistance,Power
Multinational,7583110.9,Approved,Sustainable Energy Fund for Africa,Power
,,,,
Gambia,15000000.0,Approved,African Development Fund,Power
Kenya,43955866.04,Approved,African Development Bank,Power
Mauritius,82714229.86,Approved,African Development Bank,Power
Eritrea,38400000.0,Implementation,African Development Fund,Power
"Tanzania, United Republic of",121951587.93,Approved,African Development Bank,Power
Togo,2857730.64,Approved,African Development Fund,Power
Guinea,300682.59,Implementation,Fund for African Private Sector Assistance,Power
Tunisia,19414856.27,Approved,African Development Bank,Power
Chad,14978000.0,Implementation,African Development Fund,Power
Somalia,5750000.0,Approved,African Development Fund,Power
Ethiopia,7505535.33,Approved,Sustainable Energy Fund for Africa,Power
Niger,99160000.0,Approved,African Development Fund,Power
Mozambique,78914764.16,Approved,African Development Bank,Power
Côte d'Ivoire,7770000.0,Approved,,Power
Multinational,4878597.97,Approved,Sustainable Energy Fund for Africa,Power
Guinea,50000000.0,Implementation,,Power
Multinational,1430000.0,Implementation,African Development Fund,Power
Multinational,4000000.0,Implementation,African Development Fund,Power
Multinational,250000.0,Approved,Middle Income Countries Fund,Power
Multinational,250000.0,Approved,Middle Income Countries Fund,Power
,,,,
Tunisia,773510.02,Approved,Fund for African Private Sector Assistance,Power
Ghana,19500000.0,Implementation,African Development Fund,Power
Seychelles,213636.0,Implementation,Middle Income Countries Fund,Power
Multinational,1074377.05,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Botswana,750976.27,Implementation,Sustainable Energy Fund for Africa,Power
Multinational,2130000.0,Implementation,African Development Fund,Power
Zimbabwe,2500000.0,Implementation,,Power
Multinational,2170000.0,Implementation,African Development Fund,Power
Multinational,4993088.0,Implementation,African Development Fund,Power
Mozambique,27775060.94,Implementation,African Development Fund,Power
Burundi,20000000.0,Implementation,African Development Fund,Power
Burkina Faso,50000000.0,Implementation,African Development Fund,Power
Kenya,753261.62,Implementation,Sustainable Energy Fund for Africa,Power
Multinational,714000.0,Implementation,African Development Fund,Power
Multinational,1100000.0,Implementation,African Development Fund,Power
Multinational,50000000.0,Approved,African Development Fund,Power
Multinational,10000000.0,Implementation,African Development Fund,Power
Multinational,2790000.0,Implementation,African Development Fund,Power
Multinational,1390000.0,Implementation,African Development Fund,Power
Gabon,23671283.96,Implementation,African Development Bank,Power
,,,,
Egypt,67939231.22,Completion,African Development Bank,Power
Rwanda,143246387.81,Implementation,African Development Bank,Power
Mozambique,749802.98,Implementation,Fund for African Private Sector Assistance,Power
Egypt,18330641.22,Implementation,African Development Bank,Power
Morocco,719252.87,Implementation,Sustainable Energy Fund for Africa,Power
Multinational,1472770.36,Approved,NEPAD Infrastructure Project Preparation Facility,Power
Multinational,3752767.67,Implementation,Sustainable Energy Fund for Africa,Power
Madagascar,30000000.0,Implementation,African Development Fund,Power
Multinational,5015311.9,Implementation,Sustainable Energy Fund for Africa,Power
Multinational,5015311.9,Completion,Sustainable Energy Fund for Africa,Power
Multinational,745828.95,Implementation,Sustainable Energy Fund for Africa,Power
Multinational,4255416.16,Completion,Sustainable Energy Fund for Africa,Power
"Tanzania, United Republic of",90681014.42,Implementation,,Power
Central African Republic,2500000.0,Implementation,African Development Fund,Power
Multinational,1181370.41,Implementation,,Power
Kenya,266258.65,Implementation,Fund for African Private Sector Assistance,Power
Egypt,184172614.76,Completion,African Development Bank,Power
Madagascar,3220000.0,Implementation,African Development Fund,Power
Sao Tome and Principe,10000000.0,Implementation,African Development Fund,Power
Côte d'Ivoire,50933300.66,Implementation,,Power
,,,,
Multinational,698614.1,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Djibouti,2360000.0,Completion,African Development Fund,Power
Sudan,14400000.0,Implementation,,Power
Madagascar,27820000.0,Implementation,African Development Fund,Power
Angola,364207507.23,Implementation,African Development Bank,Power
Madagascar,73173765.74,Implementation,African Development Fund,Power
Multinational,6519064.19,Implementation,European Union's Africa Investment Platform,Power
Morocco,199602187.15,Implementation,African Development Bank,Power
Burkina Faso,39961364.68,Implementation,,Power
Togo,8766907.95,Implementation,,Power
Multinational,11899654.34,Implementation,European Union's Africa Investment Platform,Power
Nigeria,121546373.74,Implementation,,Power
Mozambique,298135905.25,Approved,African Development Bank,Power
Liberia,6590000.0,Implementation,,Power
Multinational,715000.0,Completion,African Development Fund,Power
Tunisia,87710037.11,Implementation,,Power
Gambia,12600000.0,Implementation,,Power
Benin,50561521.84,Implementation,African Development Bank,Power
Chad,7978171.72,Approved,African Development Fund,Power
Chad,14360709.1,Approved,African Development Bank,Power
,,,,
Somalia,1000000.0,Implementation,Transition Support Facility,Power
Multinational,1349747.61,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Multinational,439410.6,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Multinational,23580000.0,Implementation,African Development Fund,Power
Cameroon,341651.9,Completion,,Power
Zimbabwe,1250541.78,Completion,Zimbabwe Multi-donor Trust Fund,Power
Côte d'Ivoire,27726357.16,Implementation,African Development Bank,Power
Côte d'Ivoire,65782527.84,Implementation,African Development Bank,Power
Rwanda,16400000.0,Implementation,African Development Fund,Power
Comoros,6960000.0,Implementation,African Development Fund,Power
Multinational,17822504.43,Implementation,,Power
Multinational,21722030.12,Implementation,African Development Bank,Power
Burkina Faso,3000000.0,Approved,,Power
Multinational,680427.98,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Nigeria,113351268.02,Implementation,African Development Bank,Power
South Africa,55131668.31,Implementation,African Development Bank,Power
