Country,Commitment in U.A,Status,Source of Financing,Sector
Côte d'Ivoire,61267001.59,Approved,African Development Bank,Communications
Multinational,6150000.0,Implementation,African Development Fund,Communications
Senegal,4085560.28,Approved,African Development Bank,Communications
Cape Verde,11333004.14,Implementation,African Development Bank,Communications
Multinational,7000000.0,Implementation,,Communications
Equatorial Guinea,450000.0,Approved,Middle Income Countries Fund,Communications
Multinational,415533.39,Approved,NEPAD Infrastructure Project Preparation Facility,Communications
Multinational,1145197.0,Implementation,African Development Fund,Communications
"Congo, the Democratic Republic of the",743881.57,Implementation,NEPAD Infrastructure Project Preparation Facility,Communications
Lesotho,10180000.0,Implementation,,Communications
Multinational,23400225.04,Implementation,European Union's Africa Investment Platform,Communications
Rwanda,22360192.89,Implementation,,Communications
Multinational,636018.75,Completion,NEPAD Infrastructure Project Preparation Facility,Communications
Central African Republic,27108239.87,Completion,African Development Fund,Communications
Tunisia,58575076.94,Implementation,African Development Bank,Communications
Multinational,34818000.0,Implementation,,Communications
Multinational,10210000.0,Implementation,,Communications
Multinational,14276.77,Completion,,Communications
Multinational,3770000.0,Implementation,,Communications
,,,,
Multinational,2500000.0,Completion,African Development Fund,Communications
Multinational,2314000.0,Completion,African Development Fund,Communications
Multinational,3820000.0,Completion,African Development Fund,Communications
Congo,42597897.98,Implementation,African Development Bank,Communications
Multinational,7684125.18,Cancelled,African Development Bank,Communications
Senegal,49898500.43,Implementation,,Communications
Cameroon,30535000.98,Completion,,Communications
Seychelles,102000.0,Completion,,Communications
South Africa,798000.0,Completion,,Communications
Algeria,798652.0,Completion,,Communications
Lesotho,7454793.28,Completion,,Communications
Cape Verde,25857651.28,Implementation,,Communications
Multinational,1078058.63,Cancelled,NEPAD Infrastructure Project Preparation Facility,Communications
Tunisia,467711.99,Cancelled,Middle Income Countries Fund,Communications
Seychelles,5880369.76,Completion,African Development Bank,Communications
Multinational,17910747.16,Completion,African Development Bank,Communications
Cape Verde,297188.0,Completion,Middle Income Countries Fund,Communications
Nigeria,15875097.49,Completion,African Development Bank,Communications
Algeria,496500.0,Completion,,Communications
Multinational,35852106.8,Completion,African Development Bank,Communications
,,,,
Egypt,600000.0,Completion,,Communications
Multinational,13102315.39,Completion,African Development Bank,Communications
Seychelles,271601.23,Completion,Middle Income Countries Fund,Communications
Multinational,10786042.12,Completion,African Development Bank,Communications
Multinational,92373.19,Completion,Fund for African Private Sector Assistance,Communications
Algeria,2551951.77,Cancelled,,Communications
Morocco,70126227.21,Completion,African Development Bank,Communications
Morocco,77656175.64,Completion,African Development Bank,Communications
Morocco,13591758.08,Completion,,Communications
Multinational,658242.63,Completion,African Development Fund,Communications
Mozambique,378716.33,Completion,,Communications
Eswatini,377020.62,Completion,,Communications
Zimbabwe,26378370.12,Completion,,Communications
Ethiopia,30082680.59,Completion,African Development Bank,Communications
"Tanzania, United Republic of",28122917.06,Completion,,Communications
Mozambique,1787880.26,Completion,,Communications
Malawi,26052877.73,Completion,,Communications
Benin,9808442.61,Completion,,Communications
Angola,616709.14,Completion,,Communications
Benin,13142743.39,Completion,,Communications
,,,,
Chad,2135410.39,Completion,,Communications
Togo,4590642.63,Completion,,Communications
Ex Zaire,60120000.0,Cancelled,,Communications
Multinational,3082262.86,Completion,,Communications
Somalia,955450.05,Cancelled,,Communications
Benin,10636395.94,Completion,,Communications
Rwanda,1543535.29,Completion,,Communications
"Tanzania, United Republic of",3446452.67,Completion,,Communications
Multinational,4704739.63,Completion,African Development Fund,Communications
Multinational,713223.82,Completion,African Development Fund,Communications
Chad,14273672.32,Completion,,Communications
Senegal,6740325.8,Completion,African Development Bank,Communications
Ex Zaire,774915.01,Cancelled,,Communications
Cape Verde,1241796.45,Cancelled,,Communications
Zambia,33461387.02,Completion,,Communications
Sao Tome and Principe,1835246.8,Completion,,Communications
Ethiopia,24009134.87,Completion,,Communications
Mozambique,29467704.73,Completion,,Communications
Malawi,7933197.81,Completion,African Development Bank,Communications
Angola,17463826.72,Completion,,Communications
,,,,
Zimbabwe,7000000.0,Completion,,Communications
Côte d'Ivoire,9999234.83,Completion,African Development Bank,Communications
Guinea,4300498.39,Completion,African Development Bank,Communications
Central African Republic,8582616.67,Completion,,Communications
Eswatini,7740106.0,Completion,,Communications
Botswana,9800103.36,Completion,African Development Bank,Communications
Botswana,4882146.36,Completion,,Communications
Lesotho,7778484.02,Completion,,Communications
Multinational,33286019.33,Completion,African Development Bank,Communications
Gabon,4978856.05,Completion,,Communications
Gabon,4998277.32,Completion,,Communications
Mozambique,1900000.0,Completion,,Communications
Ghana,4909447.41,Completion,African Development Bank,Communications
Cape Verde,3429485.52,Completion,African Development Fund,Communications
Eswatini,4921453.2,Completion,,Communications
Guinea,1000000.0,Completion,African Development Bank,Communications
Congo,2399714.67,Completion,,Communications
Gabon,4000000.0,Completion,African Development Bank,Communications
Zambia,4161315.76,Completion,,Communications
Guinea,4000000.0,Completion,African Development Bank,Communications
,,,,
Ex Zaire,99473.62,Completion,,Communications
Botswana,2155210.9,Completion,,Communications
Mauritania,1650000.0,Completion,African Development Bank,Communications
Eswatini,2200000.0,Completion,,Communications
Niger,1400000.0,Completion,African Development Bank,Communications
