Country,Commitment in U.A,Status,Source of Financing,Sector
Mozambique,30238430.02,Approved,African Development Bank,Transport
Angola,700000.0,Approved,Middle Income Countries Fund,Transport
Comoros,20000000.0,Approved,African Development Fund,Transport
Morocco,164266999.58,Approved,African Development Bank,Transport
Multinational,30000000.0,Approved,African Development Fund,Transport
Multinational,30000000.0,Approved,African Development Fund,Transport
Multinational,138000000.0,Approved,African Development Fund,Transport
Multinational,75000000.0,Approved,African Development Fund,Transport
Uganda,189010546.02,Approved,African Development Bank,Transport
Multinational,59970283.53,Approved,African Development Bank,Transport
Namibia,147564838.49,Approved,African Development Bank,Transport
Cameroon,165181679.19,Approved,African Development Bank,Transport
Comoros,4749407.0,Approved,African Development Fund,Transport
Ghana,17356455.19,Approved,African Development Bank,Transport
Multinational,21500000.0,Approved,African Development Fund,Transport
Multinational,33312073.0,Approved,African Development Fund,Transport
Angola,1177636.83,Approved,NEPAD Infrastructure Project Preparation Facility,Transport
Egypt,1506636.73,Approved,NEPAD Infrastructure Project Preparation Facility,Transport
Gambia,15000000.0,Approved,African Development Fund,Transport
,,,,
Multinational,152192064.87,Approved,African Development Bank,Transport
Multinational,54253100.0,Implementation,African Development Fund,Transport
Multinational,2500000.0,Implementation,African Development Fund,Transport
Senegal,96889090.37,Implementation,African Development Bank,Transport
Multinational,222667396.53,Approved,African Development Bank,Transport
Multinational,125000000.0,Approved,African Development Fund,Transport
Djibouti,2800000.0,Implementation,African Development Fund,Transport
Multinational,25010000.0,Approved,African Development Fund,Transport
Multinational,45720000.0,Approved,African Development Fund,Transport
Multinational,48180000.0,Implementation,African Development Fund,Transport
Multinational,52500000.0,Implementation,African Development Fund,Transport
Multinational,6030000.0,Approved,African Development Fund,Transport
Uganda,53251730.68,Approved,African Development Bank,Transport
Kenya,113327289.21,Approved,African Development Bank,Transport
Cameroon,31001087.37,Approved,African Development Bank,Transport
Morocco,27684910.11,Implementation,African Development Bank,Transport
Morocco,46562921.21,Implementation,African Development Bank,Transport
Somalia,938910.0,Approved,African Development Fund,Transport
Comoros,15338400.0,Implementation,African Development Fund,Transport
Multinational,37500000.0,Implementation,African Development Fund,Transport
,,,,
Multinational,24730000.0,Implementation,African Development Fund,Transport
Niger,90000000.0,Approved,African Development Fund,Transport
Multinational,1048670.42,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Senegal,95654012.56,Implementation,African Development Bank,Transport
Tunisia,85377773.03,Implementation,African Development Bank,Transport
"Congo, the Democratic Republic of the",70000000.0,Implementation,African Development Fund,Transport
Multinational,125000000.0,Implementation,African Development Fund,Transport
Multinational,153011732.11,Approved,,Transport
Multinational,209420000.0,Implementation,,Transport
Multinational,12220000.0,Approved,African Development Fund,Transport
Cameroon,93589155.92,Implementation,African Development Bank,Transport
"Tanzania, United Republic of",80530000.0,Implementation,African Development Fund,Transport
Benin,7644513.84,Implementation,EU-Africa Infrastructure Trust Fund,Transport
Gambia,374874.0,Implementation,,Transport
Somalia,390661.62,Approved,NEPAD Infrastructure Project Preparation Facility,Transport
Egypt,117377542.84,Implementation,,Transport
Multinational,1203063.98,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,1328150.35,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,1398622.43,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Uganda,50000000.0,Implementation,African Development Fund,Transport
,,,,
Multinational,258586.6,Implementation,Fund for African Private Sector Assistance,Transport
Central African Republic,8000000.0,Implementation,Transition Support Facility,Transport
Multinational,500045.12,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,12752090.58,Implementation,African Development Fund,Transport
Multinational,8751000.0,Implementation,African Development Fund,Transport
