Country,Commitment in U.A,Status,Source of Financing,Sector
Ethiopia,35000000.0,Approved,African Development Fund,Water Supply & Sanitation
Burkina Faso,2177905.0,Approved,African Development Fund,Water Supply & Sanitation
Burundi,1624310.81,Approved,AfricaWater Facility Fund,Water Supply & Sanitation
Congo,163445.66,Approved,AfricaWater Facility Fund,Water Supply & Sanitation
Tunisia,66513444.81,Approved,African Development Bank,Water Supply & Sanitation
Senegal,2351508.0,Approved,African Development Fund,Water Supply & Sanitation
Rwanda,139635099.71,Approved,African Development Bank,Water Supply & Sanitation
Multinational,407740.55,Approved,AfricaWater Facility Fund,Water Supply & Sanitation
Chad,28000000.0,Approved,Transition Support Facility,Water Supply & Sanitation
Malawi,23000000.0,Approved,African Development Fund,Water Supply & Sanitation
Chad,4992597.52,Approved,African Development Fund,Water Supply & Sanitation
Mozambique,20000000.0,Approved,Transition Support Facility,Water Supply & Sanitation
Libyan Arab Jamahiriya,1511930.2,Implementation,Special Relief Funds,Water Supply & Sanitation
Burundi,10000000.0,Approved,Transition Support Facility,Water Supply & Sanitation
Niger,1245663.96,Approved,AfricaWater Facility Fund,Water Supply & Sanitation
Benin,97006085.86,Approved,African Development Bank,Water Supply & Sanitation
Rwanda,75000000.0,Implementation,African Development Fund,Water Supply & Sanitation
Angola,56675634.01,Approved,African Development Bank,Water Supply & Sanitation
Morocco,158647.5,Implementation,Middle Income Countries Fund,Water Supply & Sanitation
,,,,
Burkina Faso,4010870.28,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
Niger,5787154.11,Approved,African Development Fund,Water Supply & Sanitation
Mali,3974856.42,Approved,,Water Supply & Sanitation
Nigeria,293991.05,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
Namibia,1172462.2,Approved,Middle Income Countries Fund,Water Supply & Sanitation
Burkina Faso,60800000.0,Approved,,Water Supply & Sanitation
Lesotho,10000000.0,Implementation,African Development Fund,Water Supply & Sanitation
Libyan Arab Jamahiriya,180000.0,Approved,Middle Income Countries Fund,Water Supply & Sanitation
Ethiopia,10720000.0,Implementation,African Development Fund,Water Supply & Sanitation
Zambia,1028021.48,Implementation,Middle Income Countries Fund,Water Supply & Sanitation
Senegal,32491553.43,Implementation,African Development Bank,Water Supply & Sanitation
Madagascar,2499850.0,Implementation,,Water Supply & Sanitation
Burkina Faso,1228018.32,Approved,AfricaWater Facility Fund,Water Supply & Sanitation
Mali,1339614.91,Approved,AfricaWater Facility Fund,Water Supply & Sanitation
Togo,1016557.69,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
Multinational,3617235.02,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
"Tanzania, United Republic of",90000000.0,Implementation,African Development Fund,Water Supply & Sanitation
Morocco,57298146.81,Implementation,African Development Bank,Water Supply & Sanitation
"Congo, the Democratic Republic of the",50000000.0,Implementation,African Development Fund,Water Supply & Sanitation
Cameroon,27000000.0,Implementation,,Water Supply & Sanitation
,,,,
Nigeria,78741347.52,Implementation,,Water Supply & Sanitation
Somalia,7500000.0,Implementation,African Development Fund,Water Supply & Sanitation
South Africa,53569147.47,Approved,African Development Bank,Water Supply & Sanitation
Morocco,14667894.42,Implementation,African Development Bank,Water Supply & Sanitation
Côte d'Ivoire,39179814.3,Implementation,African Development Bank,Water Supply & Sanitation
Morocco,100000.0,Cancelled,Middle Income Countries Fund,Water Supply & Sanitation
Zimbabwe,1341311.22,Completion,Zimbabwe Multi-donor Trust Fund,Water Supply & Sanitation
Mauritania,638872.11,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
Sierra Leone,163005.31,Completion,Special Relief Funds,Water Supply & Sanitation
Rwanda,99384074.27,Implementation,African Development Bank,Water Supply & Sanitation
Zambia,840545.2,Implementation,,Water Supply & Sanitation
Multinational,1041088.28,Implementation,NEPAD Infrastructure Project Preparation Facility,Water Supply & Sanitation
Namibia,80420201.7,Implementation,,Water Supply & Sanitation
Multinational,521069.63,Completion,AfricaWater Facility Fund,Water Supply & Sanitation
Ghana,852523.04,Implementation,,Water Supply & Sanitation
Kenya,797604.99,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
Egypt,88816866.84,Implementation,,Water Supply & Sanitation
Burkina Faso,11348544.95,Implementation,,Water Supply & Sanitation
Sudan,23144594.4,Implementation,African Development Fund,Water Supply & Sanitation
Benin,49931242.22,Implementation,,Water Supply & Sanitation
,,,,
Eritrea,511573.0,Implementation,Transition Support Facility,Water Supply & Sanitation
Somalia,8627000.0,Implementation,,Water Supply & Sanitation
South Sudan,17609528.41,Implementation,African Development Fund,Water Supply & Sanitation
Côte d'Ivoire,736645.27,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
Zimbabwe,1254606.2,Completion,Zimbabwe Multi-donor Trust Fund,Water Supply & Sanitation
Uganda,1220830.94,Completion,,Water Supply & Sanitation
Rwanda,94187740.63,Implementation,,Water Supply & Sanitation
Kenya,51537300.11,Implementation,African Development Bank,Water Supply & Sanitation
Sierra Leone,10000000.0,Implementation,,Water Supply & Sanitation
Eswatini,28212686.89,Implementation,African Development Bank,Water Supply & Sanitation
Kenya,157627010.35,Implementation,,Water Supply & Sanitation
Morocco,64217658.44,Implementation,,Water Supply & Sanitation
Malawi,10500000.0,Implementation,African Development Fund,Water Supply & Sanitation
Tunisia,818980.7,Implementation,Rural Water Supply & Sanitation,Water Supply & Sanitation
Tunisia,61161081.98,Implementation,,Water Supply & Sanitation
Gabon,61718289.57,Implementation,African Development Bank,Water Supply & Sanitation
Gambia,7135924.91,Implementation,,Water Supply & Sanitation
Cameroon,4361000.0,Implementation,,Water Supply & Sanitation
Chad,9709560.72,Implementation,African Development Fund,Water Supply & Sanitation
Uganda,44000000.0,Implementation,African Development Fund,Water Supply & Sanitation
,,,,
Multinational,365868.83,Cancelled,NEPAD Infrastructure Project Preparation Facility,Water Supply & Sanitation
Namibia,850035.23,Implementation,,Water Supply & Sanitation
Uganda,18977264.34,Completion,African Development Fund,Water Supply & Sanitation
Egypt,75596075.05,Completion,,Water Supply & Sanitation
Sierra Leone,1622047.76,Completion,AfricaWater Facility Fund,Water Supply & Sanitation
Madagascar,478275.83,Completion,Special Relief Funds,Water Supply & Sanitation
Rwanda,91540217.03,Implementation,,Water Supply & Sanitation
Sudan,15000000.0,Implementation,Transition Support Facility,Water Supply & Sanitation
Central African Republic,706504.08,Completion,Special Relief Funds,Water Supply & Sanitation
Multinational,763524.16,Completion,NEPAD Infrastructure Project Preparation Facility,Water Supply & Sanitation
Mali,1636613.01,Completion,,Water Supply & Sanitation
Multinational,896989.39,Completion,AfricaWater Facility Fund,Water Supply & Sanitation
Ethiopia,2280000.0,Completion,African Development Fund,Water Supply & Sanitation
Ghana,35950000.0,Implementation,African Development Fund,Water Supply & Sanitation
Gambia,408303.25,Completion,Rural Water Supply & Sanitation,Water Supply & Sanitation
Sierra Leone,669426.54,Completion,,Water Supply & Sanitation
Somalia,7589000.0,Completion,African Development Fund,Water Supply & Sanitation
Central African Republic,3998252.29,Implementation,Rural Water Supply & Sanitation,Water Supply & Sanitation
Rwanda,1590917.17,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation
Senegal,53205422.04,Implementation,,Water Supply & Sanitation
,,,,
Zambia,90909442.16,Implementation,,Water Supply & Sanitation
Eritrea,467860.14,Implementation,African Development Fund,Water Supply & Sanitation
